Age (bin),Age Group,Category,Color,Discount,Discount Count,Frequency of Purchases,Gender,Item,Location,Past Purchases,Payment Method,Season,Shipping Type,Size,Subscription Status,Table Name,Age,Customer,Previous Purchases,Product Count,Review Rating,Sales (USD)
20,18-24,Clothing,Beige,Yes,1,Quarterly,Male,Jeans,Pennsylvania,4 - 6,Card,Summer,Courier,M,No,Retail_Clothing_Sales.csv,22,657,5,1,3.9,10.93
40,45-54,Outerwear,White,Yes,1,Quarterly,Male,Jacket,Arizona,4 - 6,Card,Winter,Courier,M,Yes,Retail_Clothing_Sales.csv,48,658,5,1,4.3,103.82
20,25-34,Accessories,White,Yes,1,Weekly,Male,Backpack,Louisiana,1 - 3,Card,Fall,Store Pickup,S,Yes,Retail_Clothing_Sales.csv,25,659,3,1,4.9,21.78
20,25-34,Clothing,Gold,Yes,1,Weekly,Male,Shorts,Virginia,7 & more,Cash,Spring,Courier,S,No,Retail_Clothing_Sales.csv,25,660,7,1,3.6,38.42
50,45-54,Outerwear,Olive,Yes,1,Quarterly,Male,Coat,Montana,"0
New",Card,Fall,Courier,M,Yes,Retail_Clothing_Sales.csv,50,661,0,1,5,99.55
20,18-24,Clothing,Green,Yes,1,Quarterly,Male,Shirt,Iowa,"0
New",Card,Fall,Store Pickup,XL,No,Retail_Clothing_Sales.csv,24,662,0,1,4.1,66.94
20,18-24,Accessories,Magenta,Yes,1,Weekly,Male,Gloves,Illinois,"0
New",Card,Fall,Courier,L,No,Retail_Clothing_Sales.csv,24,663,0,1,2.8,390.2
50,45-54,Clothing,Charcoal,Yes,1,Monthly,Male,Dress,Alaska,1 - 3,Card,Fall,Courier,M,Yes,Retail_Clothing_Sales.csv,54,664,3,1,4.7,118.61
30,25-34,Clothing,Indigo,Yes,1,Weekly,Male,Pants,Colorado,"0
New",Card,Winter,Courier,M,Yes,Retail_Clothing_Sales.csv,34,665,0,1,4.4,118.54
40,35-44,Clothing,Peach,Yes,1,Fortnightly,Male,Pants,New Mexico,"0
New",Card,Spring,Courier,M,Yes,Retail_Clothing_Sales.csv,41,666,0,1,4.9,42.27
30,35-44,Clothing,Turquoise,Yes,1,Quarterly,Male,Hoodie,Colorado,1 - 3,Card,Winter,Courier,L,No,Retail_Clothing_Sales.csv,35,667,1,1,3.1,12.92
30,25-34,Accessories,Blue,Yes,1,Quarterly,Male,Sunglasses,Arizona,1 - 3,Cash,Winter,Courier,S,No,Retail_Clothing_Sales.csv,34,668,1,1,2.6,88.69
40,45-54,Clothing,Turquoise,Yes,1,Monthly,Male,T-shirt,Hawaii,"0
New",Cash,Fall,Courier,S,No,Retail_Clothing_Sales.csv,49,669,0,1,2.9,129.06
40,35-44,Outerwear,Gray,Yes,1,Weekly,Male,Jacket,Illinois,"0
New",Card,Spring,Courier,M,No,Retail_Clothing_Sales.csv,43,670,0,1,3.3,156.21
30,25-34,Clothing,Purple,Yes,1,Weekly,Male,Sweater,Louisiana,"0
New",Cash,Spring,Store Pickup,XL,Yes,Retail_Clothing_Sales.csv,34,671,0,1,4.8,25.62
30,35-44,Outerwear,Black,Yes,1,Weekly,Male,Jacket,Iowa,"0
New",Cash,Winter,Courier,L,Yes,Retail_Clothing_Sales.csv,38,672,0,1,4.7,15.79
50,45-54,Clothing,Peach,Yes,1,Quarterly,Male,Socks,Washington,1 - 3,Cash,Winter,Courier,M,No,Retail_Clothing_Sales.csv,54,673,1,1,3.3,39.81
30,35-44,Clothing,Indigo,Yes,1,Weekly,Male,Shirt,Oklahoma,1 - 3,Card,Spring,Courier,M,No,Retail_Clothing_Sales.csv,35,674,2,1,4.2,62.2
40,45-54,Accessories,Beige,Yes,1,Fortnightly,Male,Jewelry,Washington,"0
New",Cash,Winter,Store Pickup,XL,Yes,Retail_Clothing_Sales.csv,48,675,0,1,4.7,18.26
60,55-64,Accessories,Yellow,Yes,1,Fortnightly,Male,Sunglasses,Arkansas,7 & more,Cash,Spring,Courier,M,No,Retail_Clothing_Sales.csv,64,676,8,1,2.6,134.73
20,25-34,Clothing,Peach,Yes,1,Weekly,Male,Pants,Connecticut,"0
New",Card,Winter,Courier,M,No,Retail_Clothing_Sales.csv,28,677,0,1,2.9,50.59
60,55-64,Clothing,Turquoise,Yes,1,Fortnightly,Male,Socks,Washington,"0
New",Card,Summer,Courier,S,No,Retail_Clothing_Sales.csv,60,678,0,1,2.7,53.9
20,25-34,Clothing,Teal,Yes,1,Monthly,Male,Blouse,Maine,1 - 3,Card,Fall,Store Pickup,M,No,Retail_Clothing_Sales.csv,27,679,2,1,3.3,82.61
50,55-64,Footwear,Turquoise,Yes,1,Fortnightly,Male,Sandals,Michigan,"0
New",Card,Fall,Courier,M,No,Retail_Clothing_Sales.csv,56,680,0,1,3.4,244.01
40,35-44,Footwear,Magenta,Yes,1,Fortnightly,Male,Sneakers,Tennessee,1 - 3,Card,Spring,Courier,M,No,Retail_Clothing_Sales.csv,43,681,2,1,4.2,12.25
30,25-34,Clothing,Purple,Yes,1,Monthly,Male,Shirt,Louisiana,1 - 3,Card,Winter,Courier,XL,No,Retail_Clothing_Sales.csv,30,682,2,1,3.8,48.78
20,18-24,Outerwear,Brown,Yes,1,Weekly,Male,Jacket,Missouri,"0
New",Card,Summer,Courier,M,No,Retail_Clothing_Sales.csv,23,683,0,1,4,15.03
30,25-34,Footwear,Violet,Yes,1,Monthly,Male,Sandals,Michigan,1 - 3,Cash,Winter,Courier,S,No,Retail_Clothing_Sales.csv,33,684,2,1,2.7,20.86
30,25-34,Accessories,Yellow,Yes,1,Monthly,Male,Hat,Alabama,"0
New",Card,Summer,Courier,M,Yes,Retail_Clothing_Sales.csv,34,685,0,1,4.7,113.42
70,65-70,Clothing,Magenta,Yes,1,Fortnightly,Male,Blouse,Massachusetts,1 - 3,Cash,Winter,Courier,XL,No,Retail_Clothing_Sales.csv,70,686,1,1,3.5,74.36
70,65-70,Clothing,Beige,Yes,1,Fortnightly,Male,Sweater,Indiana,1 - 3,Card,Fall,Courier,L,No,Retail_Clothing_Sales.csv,70,687,1,1,3,19.92
10,18-24,Accessories,Turquoise,Yes,1,Quarterly,Male,Gloves,West Virginia,"0
New",Cash,Winter,Courier,XL,No,Retail_Clothing_Sales.csv,19,688,0,1,3.3,22.73
20,25-34,Accessories,Peach,Yes,1,Monthly,Male,Scarf,Michigan,"0
New",Card,Summer,Store Pickup,S,Yes,Retail_Clothing_Sales.csv,25,689,0,1,4.7,48.76
10,18-24,Clothing,Orange,Yes,1,Monthly,Male,Hoodie,Pennsylvania,"0
New",Card,Summer,Courier,M,Yes,Retail_Clothing_Sales.csv,19,690,0,1,4.7,178.3
20,25-34,Clothing,Red,Yes,1,Weekly,Male,Shorts,Alaska,"0
New",Cash,Spring,Courier,XL,Yes,Retail_Clothing_Sales.csv,25,691,0,1,4.8,66.91
60,55-64,Accessories,Silver,Yes,1,Weekly,Male,Backpack,Massachusetts,"0
New",Card,Summer,Courier,L,No,Retail_Clothing_Sales.csv,60,692,0,1,2.9,9.7
30,35-44,Accessories,Cyan,Yes,1,Monthly,Male,Sunglasses,North Dakota,"0
New",Card,Spring,Courier,M,Yes,Retail_Clothing_Sales.csv,35,693,0,1,4,243.57
20,25-34,Clothing,Turquoise,Yes,1,Monthly,Male,Shorts,Vermont,1 - 3,Cash,Spring,Courier,L,No,Retail_Clothing_Sales.csv,26,694,1,1,3.1,38.4
40,35-44,Clothing,Charcoal,Yes,1,Monthly,Male,Dress,Kentucky,"0
New",Card,Fall,Courier,S,No,Retail_Clothing_Sales.csv,41,695,0,1,3.5,9.7
30,25-34,Clothing,Peach,Yes,1,Monthly,Male,Shorts,Nevada,4 - 6,Card,Summer,Store Pickup,XL,No,Retail_Clothing_Sales.csv,30,696,5,1,3.7,64.34
20,18-24,Accessories,Green,Yes,1,Monthly,Male,Belt,Utah,"0
New",Cash,Fall,Courier,L,No,Retail_Clothing_Sales.csv,24,697,0,1,2.8,26.6
30,35-44,Accessories,Brown,Yes,1,Quarterly,Male,Scarf,North Dakota,"0
New",Card,Summer,Courier,XL,Yes,Retail_Clothing_Sales.csv,36,698,0,1,4.6,55.98
50,55-64,Footwear,Yellow,Yes,1,Weekly,Male,Boots,Iowa,"0
New",Card,Winter,Courier,M,No,Retail_Clothing_Sales.csv,55,699,0,1,3.8,25.61
50,45-54,Accessories,Charcoal,Yes,1,Weekly,Male,Handbag,Connecticut,4 - 6,Card,Fall,Courier,M,No,Retail_Clothing_Sales.csv,50,700,4,1,2.6,30.96
20,18-24,Clothing,Olive,Yes,1,Monthly,Male,Pants,Wisconsin,4 - 6,Card,Winter,Courier,L,Yes,Retail_Clothing_Sales.csv,24,701,4,1,4.1,99.49
20,25-34,Footwear,Red,Yes,1,Monthly,Male,Boots,Idaho,4 - 6,Card,Fall,Store Pickup,L,No,Retail_Clothing_Sales.csv,27,702,4,1,3.3,166.57
10,18-24,Clothing,White,Yes,1,Weekly,Male,Shirt,Montana,"0
New",Cash,Winter,Store Pickup,M,No,Retail_Clothing_Sales.csv,18,703,0,1,3.4,74.33
30,25-34,Clothing,Pink,Yes,1,Weekly,Male,Dress,Connecticut,1 - 3,Card,Summer,Courier,L,No,Retail_Clothing_Sales.csv,34,704,3,1,3,140.61
30,25-34,Clothing,Black,Yes,1,Fortnightly,Male,Hoodie,Idaho,4 - 6,Card,Spring,Courier,S,No,Retail_Clothing_Sales.csv,34,705,4,1,3.2,62.17
20,25-34,Clothing,Indigo,Yes,1,Quarterly,Male,Pants,Arkansas,"0
New",Cash,Summer,Courier,XL,Yes,Retail_Clothing_Sales.csv,25,706,0,1,4.5,166.4
20,25-34,Clothing,Turquoise,Yes,1,Weekly,Male,Jeans,Iowa,1 - 3,Card,Summer,Courier,L,Yes,Retail_Clothing_Sales.csv,26,707,2,1,4.8,32.06
50,45-54,Clothing,Purple,Yes,1,Fortnightly,Male,Shirt,Louisiana,1 - 3,Card,Spring,Store Pickup,L,No,Retail_Clothing_Sales.csv,54,708,3,1,3.7,22.72
30,35-44,Accessories,Beige,Yes,1,Fortnightly,Male,Backpack,Kentucky,4 - 6,Cash,Summer,Store Pickup,L,No,Retail_Clothing_Sales.csv,37,709,4,1,3.4,35.63
40,45-54,Outerwear,Charcoal,Yes,1,Monthly,Male,Jacket,Massachusetts,1 - 3,Card,Summer,Courier,L,Yes,Retail_Clothing_Sales.csv,49,710,3,1,4.6,99.44
20,18-24,Accessories,Turquoise,Yes,1,Fortnightly,Male,Scarf,Virginia,1 - 3,Card,Spring,Courier,L,Yes,Retail_Clothing_Sales.csv,22,711,2,1,4.1,178.11
60,55-64,Footwear,Maroon,Yes,1,Weekly,Male,Boots,New Hampshire,4 - 6,Cash,Spring,Courier,M,No,Retail_Clothing_Sales.csv,64,712,6,1,3.5,50.57
20,18-24,Clothing,Black,Yes,1,Quarterly,Male,Blouse,New Hampshire,"0
New",Cash,Summer,Store Pickup,XL,No,Retail_Clothing_Sales.csv,22,713,0,1,3.8,108.19
30,35-44,Clothing,Lavender,Yes,1,Weekly,Male,Hoodie,Oregon,"0
New",Cash,Summer,Courier,M,No,Retail_Clothing_Sales.csv,37,714,0,1,2.6,166.24
20,25-34,Outerwear,Magenta,Yes,1,Fortnightly,Male,Jacket,South Dakota,"0
New",Card,Fall,Store Pickup,M,Yes,Retail_Clothing_Sales.csv,26,715,0,1,4.4,71.27
30,25-34,Clothing,Green,Yes,1,Quarterly,Male,Jeans,Delaware,"0
New",Card,Spring,Courier,L,No,Retail_Clothing_Sales.csv,33,716,0,1,2.6,55.96
30,25-34,Accessories,Olive,Yes,1,Weekly,Male,Jewelry,Missouri,1 - 3,Card,Spring,Courier,M,No,Retail_Clothing_Sales.csv,30,717,2,1,3.6,15.02
20,18-24,Clothing,Green,Yes,1,Monthly,Male,Socks,Alaska,4 - 6,Card,Spring,Courier,L,Yes,Retail_Clothing_Sales.csv,21,718,6,1,4.2,166.07
20,18-24,Clothing,Peach,Yes,1,Fortnightly,Male,Shirt,Florida,1 - 3,Cash,Summer,Courier,M,Yes,Retail_Clothing_Sales.csv,22,719,2,1,4.6,10.28
30,25-34,Clothing,Turquoise,Yes,1,Weekly,Male,Shorts,Mississippi,"0
New",Card,Summer,Store Pickup,L,No,Retail_Clothing_Sales.csv,34,720,0,1,3.3,10.28
30,25-34,Accessories,Orange,Yes,1,Weekly,Male,Jewelry,New Mexico,4 - 6,Card,Fall,Courier,L,No,Retail_Clothing_Sales.csv,33,721,4,1,3.4,53.88
40,35-44,Clothing,Silver,Yes,1,Monthly,Male,Blouse,California,"0
New",Card,Summer,Store Pickup,L,Yes,Retail_Clothing_Sales.csv,43,722,0,1,4.4,45.59
20,25-34,Clothing,Blue,Yes,1,Weekly,Male,Sweater,Wyoming,"0
New",Cash,Summer,Store Pickup,S,No,Retail_Clothing_Sales.csv,27,723,0,1,4.3,17.42
30,35-44,Accessories,Cyan,Yes,1,Monthly,Male,Jewelry,Missouri,"0
New",Card,Fall,Courier,L,No,Retail_Clothing_Sales.csv,35,724,0,1,3.5,39.8
30,35-44,Clothing,Green,Yes,1,Monthly,Male,T-shirt,New Hampshire,"0
New",Card,Fall,Store Pickup,XL,Yes,Retail_Clothing_Sales.csv,37,725,0,1,4.7,99.38
30,35-44,Accessories,Silver,Yes,1,Fortnightly,Male,Hat,Texas,1 - 3,Card,Winter,Courier,L,No,Retail_Clothing_Sales.csv,36,726,1,1,3.1,52.14
30,25-34,Clothing,Yellow,Yes,1,Monthly,Male,Shorts,North Dakota,1 - 3,Cash,Summer,Store Pickup,L,No,Retail_Clothing_Sales.csv,32,727,3,1,3.6,95.69
20,25-34,Clothing,Violet,Yes,1,Fortnightly,Male,T-shirt,Maryland,4 - 6,Card,Fall,Courier,L,No,Retail_Clothing_Sales.csv,25,727,4,1,3.4,243.14
20,25-34,Clothing,Gray,Yes,1,Monthly,Male,Sweater,Arkansas,"0
New",Card,Winter,Store Pickup,S,Yes,Retail_Clothing_Sales.csv,25,728,0,1,4.8,320.95
20,25-34,Clothing,Pink,Yes,1,Monthly,Male,Jeans,Nebraska,7 & more,Card,Winter,Store Pickup,M,No,Retail_Clothing_Sales.csv,29,729,8,1,3.7,95.64
40,35-44,Accessories,Beige,Yes,1,Monthly,Male,Sunglasses,Minnesota,"0
New",Card,Summer,Courier,L,No,Retail_Clothing_Sales.csv,41,730,0,1,3.2,44.1
40,45-54,Footwear,Indigo,Yes,1,Fortnightly,Male,Boots,Massachusetts,1 - 3,Card,Summer,Courier,M,No,Retail_Clothing_Sales.csv,48,731,2,1,3.9,12.24
40,35-44,Outerwear,Red,Yes,1,Fortnightly,Male,Coat,Arkansas,1 - 3,Card,Spring,Courier,M,No,Retail_Clothing_Sales.csv,43,732,1,1,3.5,14.31
30,25-34,Clothing,Blue,Yes,1,Weekly,Male,Shirt,New Hampshire,1 - 3,Cash,Spring,Courier,L,No,Retail_Clothing_Sales.csv,34,733,2,1,2.8,45.57
40,45-54,Clothing,Cyan,Yes,1,Weekly,Male,Dress,Rhode Island,1 - 3,Card,Fall,Courier,L,No,Retail_Clothing_Sales.csv,45,734,3,1,2.7,20.85
20,25-34,Clothing,Violet,Yes,1,Monthly,Male,Shirt,New Jersey,"0
New",Cash,Winter,Courier,S,No,Retail_Clothing_Sales.csv,28,735,0,1,3.1,69.03
30,35-44,Accessories,Orange,Yes,1,Weekly,Male,Sunglasses,Montana,"0
New",Cash,Fall,Courier,M,No,Retail_Clothing_Sales.csv,36,736,0,1,3.6,33.24
10,18-24,Clothing,Maroon,Yes,1,Monthly,Male,Dress,Colorado,1 - 3,Card,Spring,Courier,L,No,Retail_Clothing_Sales.csv,18,737,1,1,2.9,47.19
30,25-34,Accessories,Teal,Yes,1,Fortnightly,Male,Sunglasses,Nebraska,1 - 3,Card,Spring,Store Pickup,M,No,Retail_Clothing_Sales.csv,33,738,2,1,3.6,11.57
50,55-64,Accessories,Orange,Yes,1,Quarterly,Male,Sunglasses,Minnesota,1 - 3,Card,Winter,Courier,L,No,Retail_Clothing_Sales.csv,56,739,2,1,3.5,16.57
60,55-64,Clothing,Purple,Yes,1,Weekly,Male,Shorts,Minnesota,1 - 3,Card,Summer,Courier,S,No,Retail_Clothing_Sales.csv,64,740,2,1,3.5,15.02
20,25-34,Clothing,Orange,Yes,1,Fortnightly,Male,Jeans,South Dakota,1 - 3,Card,Summer,Store Pickup,M,No,Retail_Clothing_Sales.csv,26,741,3,1,2.8,69
20,18-24,Clothing,Yellow,Yes,1,Monthly,Male,T-shirt,West Virginia,1 - 3,Cash,Summer,Courier,XL,Yes,Retail_Clothing_Sales.csv,22,742,3,1,4.7,99.33
60,55-64,Clothing,Charcoal,Yes,1,Quarterly,Male,Pants,Nevada,1 - 3,Card,Summer,Courier,M,No,Retail_Clothing_Sales.csv,64,743,3,1,3.1,23.6
20,18-24,Accessories,Gray,Yes,1,Weekly,Male,Sunglasses,North Carolina,"0
New",Cash,Fall,Courier,L,Yes,Retail_Clothing_Sales.csv,21,744,0,1,4.9,123.61
30,25-34,Footwear,Charcoal,Yes,1,Weekly,Male,Boots,Illinois,"0
New",Card,Spring,Store Pickup,S,No,Retail_Clothing_Sales.csv,31,745,0,1,4.1,62.14
20,25-34,Clothing,Orange,Yes,1,Monthly,Male,T-shirt,Michigan,1 - 3,Card,Fall,Courier,L,Yes,Retail_Clothing_Sales.csv,26,746,3,1,4.7,188.83
40,35-44,Footwear,Red,Yes,1,Fortnightly,Male,Sandals,Michigan,"0
New",Card,Winter,Courier,M,No,Retail_Clothing_Sales.csv,40,747,0,1,2.5,29.83
20,25-34,Clothing,Gold,Yes,1,Weekly,Male,Shorts,Oklahoma,4 - 6,Cash,Spring,Store Pickup,L,Yes,Retail_Clothing_Sales.csv,27,748,6,1,4.4,82.57
30,35-44,Accessories,Brown,Yes,1,Quarterly,Male,Hat,South Dakota,7 & more,Cash,Fall,Courier,L,No,Retail_Clothing_Sales.csv,35,749,7,1,3.9,23.59
50,55-64,Accessories,Olive,Yes,1,Quarterly,Male,Scarf,Oklahoma,1 - 3,Card,Winter,Courier,M,No,Retail_Clothing_Sales.csv,56,750,1,1,3.7,74.3
20,25-34,Accessories,Indigo,Yes,1,Monthly,Male,Gloves,Ohio,"0
New",Card,Fall,Courier,L,Yes,Retail_Clothing_Sales.csv,28,752,0,1,4.8,76.9
30,35-44,Accessories,Yellow,Yes,1,Monthly,Male,Scarf,Ohio,4 - 6,Card,Fall,Courier,L,Yes,Retail_Clothing_Sales.csv,39,753,4,1,4.2,128.97
30,25-34,Footwear,Teal,Yes,1,Quarterly,Male,Boots,Massachusetts,1 - 3,Card,Fall,Store Pickup,M,No,Retail_Clothing_Sales.csv,33,754,2,1,3.4,41.08
30,35-44,Accessories,Pink,Yes,1,Quarterly,Male,Gloves,North Carolina,1 - 3,Card,Spring,Store Pickup,L,No,Retail_Clothing_Sales.csv,36,755,2,1,2.9,25.6
60,65-70,Outerwear,Violet,Yes,1,Weekly,Male,Coat,Florida,1 - 3,Card,Spring,Courier,M,No,Retail_Clothing_Sales.csv,66,756,3,1,3.3,11.57
20,25-34,Accessories,Orange,Yes,1,Fortnightly,Male,Belt,Montana,1 - 3,Cash,Summer,Courier,S,Yes,Retail_Clothing_Sales.csv,25,757,2,1,4.8,536.68
40,35-44,Clothing,Red,Yes,1,Quarterly,Male,Hoodie,Minnesota,4 - 6,Card,Fall,Store Pickup,M,No,Retail_Clothing_Sales.csv,41,758,4,1,3.8,17.41
60,65-70,Footwear,Peach,Yes,1,Monthly,Male,Shoes,Massachusetts,"0
New",Cash,Summer,Courier,L,Yes,Retail_Clothing_Sales.csv,66,759,0,1,4.6,74.26
20,25-34,Clothing,Green,Yes,1,Fortnightly,Male,Dress,Rhode Island,1 - 3,Card,Winter,Store Pickup,XL,No,Retail_Clothing_Sales.csv,27,760,2,1,2.6,34.37
30,25-34,Accessories,Violet,Yes,1,Fortnightly,Male,Gloves,Minnesota,4 - 6,Cash,Fall,Courier,XL,No,Retail_Clothing_Sales.csv,33,761,5,1,3.4,35.61
20,18-24,Accessories,Yellow,Yes,1,Weekly,Male,Jewelry,Nevada,1 - 3,Cash,Fall,Courier,L,Yes,Retail_Clothing_Sales.csv,24,762,2,1,4.2,177.92
40,45-54,Accessories,Pink,Yes,1,Fortnightly,Male,Belt,New Mexico,"0
New",Card,Fall,Courier,M,No,Retail_Clothing_Sales.csv,45,763,0,1,3.9,30.94
30,35-44,Clothing,Brown,Yes,1,Monthly,Male,Sweater,North Carolina,4 - 6,Card,Spring,Courier,M,No,Retail_Clothing_Sales.csv,36,764,5,1,2.9,35.6
50,55-64,Clothing,Silver,Yes,1,Quarterly,Male,Skirt,Virginia,4 - 6,Card,Fall,Courier,XL,No,Retail_Clothing_Sales.csv,55,765,5,1,4.2,23.59
20,18-24,Footwear,Pink,Yes,1,Quarterly,Male,Sneakers,Alaska,4 - 6,Cash,Summer,Store Pickup,M,No,Retail_Clothing_Sales.csv,21,766,6,1,3,531.97
20,18-24,Accessories,Cyan,Yes,1,Monthly,Male,Gloves,Nevada,4 - 6,Card,Winter,Store Pickup,M,No,Retail_Clothing_Sales.csv,24,767,6,1,3.6,33.23
20,25-34,Outerwear,Brown,Yes,1,Fortnightly,Male,Coat,Pennsylvania,1 - 3,Cash,Fall,Store Pickup,M,No,Retail_Clothing_Sales.csv,27,768,1,1,2.5,92.3
60,55-64,Accessories,Red,Yes,1,Weekly,Male,Backpack,Illinois,"0
New",Card,Spring,Courier,XL,No,Retail_Clothing_Sales.csv,64,769,0,1,2.6,242.71
10,18-24,Clothing,Silver,Yes,1,Monthly,Male,Socks,Delaware,7 & more,Card,Spring,Store Pickup,M,Yes,Retail_Clothing_Sales.csv,19,770,7,1,4.3,876.05
10,18-24,Footwear,Gray,Yes,1,Fortnightly,Male,Sneakers,Vermont,7 & more,Card,Spring,Courier,M,No,Retail_Clothing_Sales.csv,19,771,7,1,3.3,41.06
20,18-24,Clothing,Cyan,Yes,1,Fortnightly,Male,Sweater,Hawaii,1 - 3,Cash,Fall,Store Pickup,L,No,Retail_Clothing_Sales.csv,22,772,1,1,2.6,66.88
10,18-24,Clothing,Teal,Yes,1,Weekly,Male,Jeans,Illinois,"0
New",Card,Fall,Courier,L,No,Retail_Clothing_Sales.csv,18,773,0,1,3.6,10.27
20,25-34,Accessories,Indigo,Yes,1,Weekly,Male,Hat,California,4 - 6,Card,Winter,Courier,L,No,Retail_Clothing_Sales.csv,29,774,6,1,2.6,123.53
20,18-24,Accessories,Yellow,Yes,1,Quarterly,Male,Hat,Nevada,7 & more,Card,Summer,Courier,M,No,Retail_Clothing_Sales.csv,22,775,9,1,3.5,30.93
40,45-54,Accessories,Gold,Yes,1,Monthly,Male,Handbag,Kentucky,7 & more,Card,Winter,Store Pickup,S,No,Retail_Clothing_Sales.csv,49,776,7,1,3,39.78
40,45-54,Clothing,Maroon,Yes,1,Monthly,Male,Shirt,Alabama,7 & more,Card,Spring,Courier,M,Yes,Retail_Clothing_Sales.csv,49,777,7,1,5,50.55
50,55-64,Clothing,Silver,Yes,1,Weekly,Male,Socks,Wyoming,"0
New",Card,Spring,Courier,XL,No,Retail_Clothing_Sales.csv,55,778,0,1,2.5,17.41
20,25-34,Clothing,Yellow,Yes,1,Fortnightly,Male,Socks,Massachusetts,1 - 3,Card,Summer,Store Pickup,M,No,Retail_Clothing_Sales.csv,29,779,3,1,2.9,35.59
60,55-64,Clothing,Blue,Yes,1,Fortnightly,Male,Dress,Utah,"0
New",Cash,Spring,Courier,M,Yes,Retail_Clothing_Sales.csv,60,780,0,1,4.6,219.64
30,25-34,Footwear,Turquoise,Yes,1,Quarterly,Male,Shoes,New York,"0
New",Cash,Spring,Courier,M,No,Retail_Clothing_Sales.csv,34,781,0,1,3.6,12.92
30,25-34,Accessories,Indigo,Yes,1,Fortnightly,Male,Scarf,Vermont,7 & more,Card,Winter,Store Pickup,L,No,Retail_Clothing_Sales.csv,30,782,8,1,3,28.74
20,25-34,Clothing,Green,Yes,1,Weekly,Male,Hoodie,Hawaii,4 - 6,Cash,Summer,Courier,M,Yes,Retail_Clothing_Sales.csv,28,783,5,1,4.5,45.56
30,25-34,Clothing,Purple,Yes,1,Fortnightly,Male,T-shirt,Louisiana,"0
New",Card,Winter,Store Pickup,L,Yes,Retail_Clothing_Sales.csv,34,784,0,1,4.5,59.96
30,25-34,Clothing,Peach,Yes,1,Monthly,Male,Jeans,Alabama,"0
New",Cash,Winter,Store Pickup,M,No,Retail_Clothing_Sales.csv,31,785,0,1,3.2,76.86
20,25-34,Clothing,Purple,Yes,1,Fortnightly,Male,Shorts,Louisiana,"0
New",Card,Spring,Store Pickup,S,No,Retail_Clothing_Sales.csv,26,786,0,1,4,53.86
70,65-70,Accessories,Teal,Yes,1,Monthly,Male,Hat,Indiana,4 - 6,Cash,Winter,Courier,S,Yes,Retail_Clothing_Sales.csv,70,787,5,1,4.8,9.7
20,25-34,Accessories,Green,Yes,1,Weekly,Male,Handbag,Michigan,1 - 3,Card,Spring,Courier,S,No,Retail_Clothing_Sales.csv,28,788,2,1,3.7,128.88
50,45-54,Clothing,Yellow,Yes,1,Quarterly,Male,Pants,Rhode Island,4 - 6,Cash,Summer,Store Pickup,XL,No,Retail_Clothing_Sales.csv,50,789,4,1,3.8,37.04
30,25-34,Accessories,Purple,Yes,1,Weekly,Male,Handbag,Idaho,1 - 3,Card,Fall,Courier,S,No,Retail_Clothing_Sales.csv,33,790,3,1,2.7,123.44
20,18-24,Clothing,Indigo,Yes,1,Quarterly,Male,Sweater,Louisiana,7 & more,Cash,Summer,Store Pickup,M,Yes,Retail_Clothing_Sales.csv,22,791,8,1,4.9,21.77
50,45-54,Accessories,Magenta,Yes,1,Fortnightly,Male,Scarf,North Carolina,"0
New",Card,Summer,Courier,S,No,Retail_Clothing_Sales.csv,50,792,0,1,3.1,28.73
30,25-34,Footwear,Violet,Yes,1,Weekly,Male,Sneakers,New Jersey,"0
New",Card,Spring,Store Pickup,M,No,Retail_Clothing_Sales.csv,34,793,0,1,4.2,29.82
20,18-24,Clothing,Maroon,Yes,1,Monthly,Male,Pants,Alabama,4 - 6,Card,Summer,Courier,L,No,Retail_Clothing_Sales.csv,24,794,5,1,3.8,19.91
30,25-34,Accessories,Yellow,Yes,1,Fortnightly,Male,Backpack,Kentucky,7 & more,Card,Winter,Store Pickup,XL,No,Retail_Clothing_Sales.csv,33,795,9,1,4.2,35.58
30,35-44,Footwear,Beige,Yes,1,Fortnightly,Male,Sandals,New York,1 - 3,Card,Summer,Store Pickup,M,Yes,Retail_Clothing_Sales.csv,39,796,1,1,4.6,12.91
20,18-24,Clothing,Black,Yes,1,Fortnightly,Male,Socks,Arizona,"0
New",Card,Fall,Courier,XL,No,Retail_Clothing_Sales.csv,22,797,0,1,4,95.59
20,18-24,Outerwear,Violet,Yes,1,Weekly,Male,Coat,Maryland,"0
New",Card,Fall,Courier,M,Yes,Retail_Clothing_Sales.csv,22,798,0,1,4,113.35
20,25-34,Clothing,Violet,Yes,1,Monthly,Male,Socks,Alaska,"0
New",Card,Spring,Courier,M,No,Retail_Clothing_Sales.csv,29,799,0,1,3.8,23.58
50,55-64,Accessories,Brown,Yes,1,Fortnightly,Male,Belt,Nevada,1 - 3,Card,Summer,Courier,L,No,Retail_Clothing_Sales.csv,55,800,1,1,3.3,42.5
30,25-34,Clothing,Gold,Yes,1,Monthly,Male,Socks,Utah,1 - 3,Cash,Summer,Courier,S,No,Retail_Clothing_Sales.csv,32,801,3,1,2.6,9.1
20,25-34,Accessories,Blue,Yes,1,Fortnightly,Male,Belt,New Mexico,7 & more,Card,Fall,Courier,L,Yes,Retail_Clothing_Sales.csv,25,802,8,1,4.9,15.02
